hscode,description,net_wt_kg,assess_value_bdt
38190000,Hydraulic Brake Fluids And Similar Liquids With <70% Petroleum Oil,4879,828002
38221900,"Dignostic or lab. reagent (Exlud For alariam, Zika, blood-grouping)",0,66024
38231100,Stearic Acid,96200,14343893
38241000,Prepared Binders For Foundry Moulds Or Cores,57050,17294326
38244000,"Prepared Additives For Cements, Mortars Or Concretes",41300,1458170
38245000,Non-Refractory Mortars And Concretes,12500,379711
38249100,Mixtures and preparations consisting mainly of (5-ethyl-2-methyl-2-.......,1908,2839209
38249910,Other,1010,824124
38249920,Chlorinated paraffin wax,6000,1464883
38249950,Coated cal.car....Imp by IND.IRC.VAT reg plastic goods_cal.car filler_cable manf.ind,263500,8100884
38249960,Desiccant,63060,59126383
38249992,Master batch not containing pigments,34000,7237438
38249999,Other,1360499,352907223
39011000,Polyethylene having a specific gravity of less than 0.94,3777657,550528992
39012000,Polyethylene having a specific gravity of 0.94 or more,6831900,891693222
39013000,"Ethylene-Vinyl Acetate Copolymers, In Primary Forms",883616,155142235
39014000,"Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",13248390,1740161169
39019000,"Other Polymers Of Ethylene, In Primary Forms, Nes",89530,15787963
39021000,"Polypropylene, In Primary Forms",18473492,2297351191
39023000,"Propylene Copolymers, In Primary Forms",1268825,155019720
39029000,"Other Polymers Of Propylene Or Of Other Olefins, In Primary Forms, Nes",100459,9339993
39031900,"Polystyrene (Excl. Expansible), In Primary Forms",2083700,287141174
39032000,"Styrene-Acrylonitrile (San) Copolymers, In Primary Forms",1550,1222589
39033000,Acrylonitrile-butadiena-styrene(ABS) copolymers,266850,49147113
39039000,"Polymers Of Styrene, In Primary Forms, Nes",278050,45256653
39041000,"Polyvinyl Chloride, Not Mixed With Other Substances, In Primary Forms",75613,16691342
39042200,"Plasticised Polyvinyl Chloride, In Primary Forms",224550,43523566
39051200,Polyvinyl Acetate In Aqueous Dispersion,46920,16024282
39052100,Vinyl Acetate Copolymers In Aqueous Dispersion,19240,4496478
39053000,"Polyvinyl Alcohol, Whether Or Not Containing Unhydrolysed Acetate Groups",67700,20215478
39061000,"Polymethyl Methacrylate, In Primary Forms",10250,4756140
39069000,"Acrylic Polymers, In Primary Forms, Nes",2146525,498752616
39071000,"Polyacetals, In Primary Forms",94975,19502077
39072100,Other polyethers : Bis (polyoxyethylene) methylphosphonate,15123,4563245
39072900,Other polyethers :EXLCUDING Bis (polyoxyethylene) methylphosphonate,313690,48217971
39073000,"Epoxide Resins, In Primary Forms",39929,27510252
39074000,Polycarbonate,30105,8622466
39076100,Having a viscosity number of 78 ml/g or higher,267300,34968079
39076900,Other,3000,609992
39077000,Poly (lactic acid),48000,7512222
39079100,"Unsaturated Polyesters, In Primary Forms, Nes",593616,122826814
39079900,"Polysters, In Primary Forms,NES",144782,30716008
39081000,"Polyamide 6,11,12,6,6,6,9,6,10 or 6,12:",22128,6732432
39089000,"Other polymides, in primary forms, nes",32338,17125613
39091000,UREA RESINS; THIOUREA RESINS,2860,1458163
39092000,Melamine resins,480,372754
39093100,"Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",34170,10476774
39093900,Other,240,219857
39094000,"Phenolic Resins, In Primary Forms",25,15649
39095000,"Polyurethanes, In Primary Forms",232577,117559098
39100000,Silicones Inprimary Forms,424909,150118000
39111000,"Petroleum Resins... Other Resins And Polyterpenes, In Primary Forms",18916,3853625
39119000,"Polysulphides, Polysulphones And Other Products..., In Primary Forms",19610,7128837
39121200,"Plasticised Cellulose Acetates, In Primary Forms",1100,464803
39131000,"Alginic Acid, Its Salts And Esters, In Primary Forms",39080,25405902
39139000,"Natural and modified natural polymers, in primary forms",25,15649
39140000,"Ion-Exchangers Based On Polymers Of 39.01 To 39.13, In Primary Forms",60035,18791231
39159000,"Waste, Parings And Scrap, Of Other Plastics, Nes",298619,19571931
39161000,"Monofilament Dimenson>1mm,Rods..&Prof.Sha.,Polym. Of Ethylene",27,48671
39162000,"Monofil..>1mm,..Of Vinyl Chloride For door, window and photo frame",879,779396
39169010,"Monofil.Dimension>1mm,Rods..&Profile Shapes,Of Other Plastics",83,180237
